iata,icao,airport_name,city,country,lat,lon,tz
KYI,YYTA,Yalata Mission Airport,Yalata,Australia,-31.470600128173828,131.8249969482422,Australia/Adelaide
HZL,KHZL,Hazleton Municipal Airport,Hazleton,United States,40.986801147499996,-75.9949035645,America/New_York
CBE,KCBE,Greater Cumberland Regional Airport,Cumberland,United States,39.615398407,-78.7609024048,America/New_York
WYN,YWYM,Wyndham Airport,Wyndham,Australia,-15.51140022277832,128.1529998779297,Australia/Perth
YBO,CBW4,Bob Quinn Lake Airport,Bob Quinn Lake,Canada,56.9667015076,-130.25,America/Vancouver
KLF,UUBC,Grabtsevo Airport,Kaluga,Russia,54.5499992371,36.3666687012,Europe/Moscow
LNR,KLNR,Tri-County Regional Airport,Lone Rock,United States,43.2117004395,-90.181602478,America/Chicago
JOT,KJOT,Joliet Regional Airport,Joliet,United States,41.51779938,-88.17549896,America/Chicago
VYS,KVYS,Illinois Valley Regional Airport-Walter A Duncan Field,Peru,United States,41.351898,-89.153099,America/Chicago
JXN,KJXN,Jackson County Reynolds Field,Jackson,United States,42.259799957300004,-84.45939636230001,America/New_York
BBX,KLOM,Wings Field,Philadelphia,United States,40.1375007629,-75.2650985718,America/New_York
OBE,KOBE,Okeechobee County Airport,Okeechobee,United States,27.262800216699997,-80.8498001099,America/New_York
SEF,KSEF,Sebring Regional Airport,Sebring,United States,27.45639992,-81.3423996,America/New_York
AVO,KAVO,Avon Park Executive Airport,Avon Park,United States,27.59119987,-81.52780151,America/New_York
GIF,KGIF,Winter Haven Regional Airport - Gilbert Field,Winter Haven,United States,28.062901,-81.753304,America/New_York
ZPH,KZPH,Zephyrhills Municipal Airport,Zephyrhills,United States,28.2282009125,-82.15589904790001,America/New_York
OCF,KOCF,Ocala International Airport - Jim Taylor Field,Ocala,United States,29.17259979,-82.22419739,America/New_York
AIK,KAIK,Aiken Regional Airport,Aiken,United States,33.649399,-81.684998,America/New_York
